City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,seminole,28.71,-81.21,71.01,37,1,10.29,US,1580240093
326,moses lake,47.13,-119.28,48.0,81,90,6.93,US,1580240102
327,verkhovyna,48.16,24.79,31.48,89,77,5.84,UA,1580240102
328,springdale,36.19,-94.13,48.2,87,40,4.7,US,1580240092
329,trairi,-3.28,-39.27,78.78,80,80,4.32,BR,1580240102
330,teshie,5.58,-0.11,82.4,83,19,6.93,GH,1580240102
331,muros,42.78,-9.06,57.0,100,75,3.36,ES,1580240102
332,buraydah,26.33,43.98,53.6,37,32,6.93,SA,1580240103
333,svetlogorsk,52.63,29.73,31.53,91,80,8.59,BY,1580240103
334,baikunthpur,23.25,82.55,60.53,84,0,2.44,IN,1580240103
335,bay roberts,47.6,-53.26,32.0,100,90,9.17,CA,1580240103
336,alugan,12.22,125.48,75.52,88,16,4.41,PH,1580240103
337,manga,11.66,-1.07,78.67,8,97,7.72,BF,1580240103
338,shelbyville,35.48,-86.46,55.0,100,90,4.23,US,1580240030
339,shahrud,36.42,54.98,28.02,57,0,3.33,IR,1580240103
340,marano di napoli,40.9,14.19,57.2,76,40,13.87,IT,1580240104
341,prince rupert,54.32,-130.32,41.0,93,90,3.36,CA,1580240104
342,halifax,44.65,-63.57,28.0,73,90,17.22,CA,1580240094
343,coihaique,-45.58,-72.07,59.0,50,75,8.05,CL,1580240048
344,mount gambier,-37.83,140.77,50.0,93,90,1.12,AU,1580240075
345,independence,39.09,-94.42,32.0,84,90,7.54,US,1580239883
346,bud,39.45,-86.18,35.6,80,90,5.06,US,1580240058
347,baturaja,-4.13,104.17,72.93,98,100,0.38,ID,1580240104
348,riga,57.0,24.08,32.0,94,90,11.41,LV,1580239927
349,naze,28.37,129.48,60.8,77,75,16.11,JP,1580240105
350,san-pedro,4.75,-6.64,82.96,76,99,10.51,CI,1580240105
351,yumen,40.28,97.2,19.27,45,0,6.17,CN,1580240105
352,ayan,56.45,138.17,0.7,67,0,14.56,RU,1580240105
353,atar,20.52,-13.05,89.6,11,0,16.11,MR,1580240105
354,monrovia,6.3,-10.8,78.8,83,75,7.36,LR,1580239828
355,zedelgem,51.13,3.14,41.0,86,40,12.75,BE,1580240105
356,antalaha,-14.9,50.28,80.51,66,57,6.13,MG,1580240105
357,acajutla,13.59,-89.83,86.0,48,40,2.24,SV,1580240078
358,puerto quijarro,-17.78,-57.77,88.7,54,43,7.27,BO,1580240105
359,bengkulu,-3.8,102.27,75.65,89,100,4.76,ID,1580240038
360,dubrovnik,42.65,18.09,53.6,87,75,9.17,HR,1580240062
361,souillac,-20.52,57.52,75.2,78,20,3.36,MU,1580240106
362,jalu,29.03,21.55,56.52,52,0,3.8,LY,1580240106
363,lake city,30.19,-82.64,66.99,32,1,8.05,US,1580240106
364,kalabo,-14.97,22.68,70.9,80,38,3.91,ZM,1580240044
365,constitucion,-35.33,-72.42,65.91,68,27,20.24,CL,1580240106
366,pilar do sul,-23.81,-47.72,75.25,80,29,4.59,BR,1580240106
367,shingu,33.73,135.98,54.88,76,68,8.57,JP,1580240107
368,fare,-16.7,-151.02,82.9,76,86,12.03,PF,1580240107
369,sao gabriel da cachoeira,-0.13,-67.09,82.4,88,75,8.05,BR,1580240107
370,iroquois falls,48.77,-80.68,12.2,85,90,5.82,CA,1580240107
371,katsuura,35.13,140.3,50.0,93,75,18.34,JP,1580240107
372,dukat,62.55,155.55,-9.62,99,100,5.01,RU,1580240107
373,beyneu,45.32,55.2,34.32,82,100,15.93,KZ,1580240076
374,aksehir,38.36,31.42,38.41,83,43,2.57,TR,1580240107
375,nakskov,54.84,11.13,39.99,1,100,5.99,DK,1580240107
376,ankazoabo,-22.28,44.52,70.75,87,0,8.93,MG,1580240107
377,nayudupeta,13.9,79.9,70.74,87,0,7.05,IN,1580240108
378,burnie,-41.07,145.92,57.99,93,3,1.01,AU,1580239859
379,yaan,7.38,8.57,79.47,14,5,2.21,NG,1580240108
380,moerai,-22.43,-151.33,79.36,79,100,17.05,PF,1580240108
